cmd_storage_time_s,cmd_sim_time,linear_x,angular_z,encounter_id,center_distance,clock_bracket_gap_s
1788524105.29726,72.33562789981524,0.0,1.0,,11.448818164688461,0.004645347595214844
1788524105.3997524,72.39342654926003,0.0,1.0,,11.391035976821899,0.012211322784423828
1788524105.4966962,72.45200444021566,0.0,1.0,,11.33247494068274,0.005262136459350586
1788524105.5963044,72.51785898723283,0.0,1.0,,11.266639551462493,0.0016620159149169922
1788524105.696835,72.58243117977527,0.0,1.0,,11.202086362346643,0.0022068023681640625
1788524105.795892,72.64317792044022,0.0,1.0,,11.141357700347072,0.0020797252655029297
1788524105.899508,72.7232333110368,0.0,1.0,,11.061326438037929,0.0017821788787841797
1788524105.996094,72.7866645517806,0.0,1.0,,10.997914564534922,0.0011649131774902344
1788524106.0962613,72.85173203748698,0.0,1.0,,10.932867179126161,0.0006868839263916016
1788524106.1965945,72.91452991694219,0.0,1.0,,10.870088927012274,0.005913257598876953
1788524106.2963383,72.97348140900196,0.0,1.0,,10.811156067575496,0.0018274784088134766
1788524106.3976402,73.01799195215594,0.0,1.0,,10.766659727904573,0.0032291412353515625
1788524106.49595,73.06947055500635,0.0,1.0,,10.715197699204898,0.001688241958618164
1788524106.598363,73.13845278341222,0.0,1.0,,10.6462379317099,0.0010578632354736328
1788524106.6955254,73.1882668581996,0.0,1.0,,10.596440258408569,0.007219791412353516
1788524106.7957032,73.23500454614914,0.0,1.0,,10.549718099846345,0.0062408447265625
1788524106.8957722,73.29418410601838,0.0,1.0,,10.490558401884199,0.010866403579711914
1788524106.9983053,73.36655390230207,0.0,1.0,,10.418213201069083,0.004246234893798828
1788524107.095648,73.4212564563793,0.0,1.0,,10.363529466019417,0.001855611801147461
1788524107.197995,73.48236475366036,0.0,1.0,,10.302442427778022,0.0022308826446533203
1788524107.2958724,73.53231268530284,0.0,1.0,,10.252512060772737,0.0022516250610351562
1788524107.3956316,73.58310153937241,0.0,1.0,,10.201741243388783,0.0016107559204101562
