sim_time_s,robot_obstacle_center_distance_m,estimated_clearance_m,encounter_id
22.2,0.0970914986945374,-0.20790850130546262,1
22.22,0.1208927373329886,-0.1841072626670114,1
22.24,0.1447592152295658,-0.16024078477043419,1
22.26,0.16866323986214712,-0.1363367601378529,1
22.28,0.1925908310398251,-0.1124091689601749,1
22.3,0.21653417640945885,-0.08846582359054116,1
22.32,0.2404885704954244,-0.0645114295045756,1
22.34,0.2644510108837585,-0.04054898911624151,1
22.36,0.2884194920750824,-0.016580507924917623,1
22.38,0.31239262362154835,0.0073926236215483415,1
22.4,0.33636941122872477,0.03136941122872476,1
22.42,0.36034912510017725,0.05534912510017724,1
22.44,0.38433121749795607,0.07933121749795606,1
22.46,0.4083152693193773,0.10331526931937728,1
22.48,0.4323009544381645,0.12730095443816453,1
22.5,0.4562880152818117,0.15128801528181168,1
22.52,0.4802762457215726,0.17527624572157263,1
22.54,0.5042654788421442,0.19926547884214424,1
22.56,0.5282555780418086,0.22325557804180857,1
22.58,0.5522464304507301,0.24724643045073008,1
22.6,0.5762379419925091,0.2712379419925091,1
22.62,0.6002300336294797,0.2952300336294797,1
22.64,0.6242226384735095,0.31922263847350946,1
22.66,0.6482156995381317,0.34321569953813175,1
22.68,0.6722091679719111,0.3672091679719111,1
22.7,0.6962030016569623,0.39120300165696226,1
22.72,0.7201971640875391,0.41519716408753915,1
22.74,0.7441916234654876,0.43919162346548757,1
22.76,0.7681863519651507,0.4631863519651507,1
22.78,0.7921813251319391,0.487181325131939,1
22.8,0.8161765213867388,0.5111765213867387,1
22.82,0.8401719216154644,0.5351719216154645,1
22.84,0.8641675088268378,0.5591675088268377,1
22.86,0.8881632678656808,0.5831632678656808,1
22.88,0.912159185171428,0.607159185171428,1
22.9,0.9361552485737928,0.6311552485737928,1
22.92,0.9601514471190556,0.6551514471190556,1
22.94,0.9841477709217631,0.679147770921763,1
22.96,1.0081442110375956,0.7031442110375956,1
22.98,1.0321407593540026,0.7271407593540027,1
23.0,1.0561374084956923,0.7511374084956923,1
23.02,1.0801341517427272,0.7751341517427273,1
23.04,1.1041309829594155,0.7991309829594155,1
23.06,1.128127896532022,0.8231278965320221,1
23.08,1.1521248873145244,0.8471248873145245,1
23.1,1.1761219505808715,0.8711219505808716,1
23.12,1.200119081982987,0.8951190819829871,1
23.14,1.224116277513752,0.919116277513752,1
23.16,1.2481135334742013,0.9431135334742013,1
23.18,1.27211084644448,0.96711084644448,1
23.2,1.29610821325799,0.99110821325799,1
23.22,1.3201056309783858,1.015105630978386,1
23.24,1.3441030968790186,1.0391030968790187,1
23.26,1.3681006084245106,1.0631006084245107,1
23.28,1.3920981632543887,1.0870981632543888,1
23.3,1.4160957591680932,1.1110957591680932,1
23.32,1.4400933941117757,1.1350933941117758,1
23.34,1.464091066166238,1.1590910661662381,1
23.36,1.488088773536079,1.183088773536079,1
23.38,1.512086514539866,1.2070865145398662,1
23.4,1.5360842876012504,1.2310842876012504,1
23.42,1.5600820912408617,1.2550820912408618,1
23.44,1.5840799240689745,1.2790799240689745,1
23.46,1.6080777847788208,1.3030777847788209,1
23.48,1.632075672140496,1.3270756721404962,1
23.5,1.6560735849953534,1.3510735849953535,1
23.52,1.68007152225102,1.3750715222510201,1
23.54,1.7040694828765814,1.3990694828765815,1
23.56,1.7280674658984096,1.4230674658984097,1
23.58,1.7520654703962264,1.4470654703962265,1
23.6,1.7760634954994847,1.4710634954994848,1
23.62,1.8000615403840643,1.4950615403840644,1
23.64,1.8240596042692079,1.519059604269208,
23.66,1.8480576864147196,1.5430576864147196,
23.68,1.8720557861183538,1.5670557861183538,
23.7,1.8960539027134193,1.5910539027134194,
23.72,1.9200520355665525,1.6150520355665525,
23.74,1.944050184075643,1.639050184075643,
23.76,1.9680483476680213,1.6630483476680213,
23.78,1.9920465257985325,1.6870465257985325,
23.8,2.016044717948011,1.7110447179480113,
23.82,2.04004292362172,1.7350429236217202,
23.84,2.0640411423479237,1.7590411423479237,
23.86,2.088039373676582,1.783039373676582,
23.88,2.112037617178104,1.8070376171781042,
23.9,2.1360358724422053,1.8310358724422053,
23.92,2.160034139076834,1.8550341390768341,
23.94,2.1840324167071654,1.8790324167071655,
23.96,2.2080307049746573,1.903030704974657,
23.98,2.2320290035362538,1.9270290035362536,
24.0,2.253170332393772,1.9481703323937718,
24.02,2.240027924660312,1.9350279246603117,
24.04,2.2240285726822377,1.9190285726822376,
24.06,2.2080292568992577,1.9030292568992575,
24.08,2.1920299781039234,1.8870299781039235,
24.1,2.176030737112087,1.871030737112087,
24.12,2.160031534763782,1.8550315347637822,
24.14,2.144032371924098,1.839032371924098,
24.16,2.128033249484151,1.823033249484151,
24.18,2.112034128959338,1.807034128959338,
24.2,2.096034886937195,1.7910348869371953,
24.22,2.080035496527843,1.775035496527843,
24.24,2.0640359380810915,1.7590359380810916,
24.26,2.047991763367088,1.742991763367088,
24.28,2.0315475366120768,1.7265475366120768,
24.3,2.015103112707659,1.7101031127076591,
24.32,1.998686459866882,1.6936864598668822,
24.34,1.9825774999859858,1.6775774999859858,
24.36,1.9665765312422705,1.6615765312422706,
24.38,1.9505752667458984,1.6455752667458985,
24.4,1.9345736899254742,1.6295736899254742,
24.42,1.9185717846690722,1.6135717846690723,
24.44,1.9025695353433236,1.5975695353433237,
24.46,1.8865669268137801,1.5815669268137802,
24.48,1.8705640982871463,1.5655640982871464,
24.5,1.854561233193655,1.549561233193655,
24.52,1.8385583353536903,1.5335583353536903,
24.54,1.822555408406254,1.5175554084062541,
24.56,1.806552456238465,1.501552456238465,
24.58,1.7905494829966093,1.4855494829966094,
24.6,1.7745464930978658,1.469546493097866,
24.62,1.7585434912426015,1.4535434912426015,
24.64,1.7425404824274118,1.4375404824274118,
24.66,1.7265374777570004,1.4215374777570005,
24.68,1.7105346102796184,1.4055346102796185,
24.7,1.694531937590383,1.389531937590383,
24.72,1.678529465260481,1.373529465260481,
24.74,1.6625271990755126,1.3575271990755127,
24.76,1.646525145045925,1.3415251450459251,
24.78,1.630523309418038,1.325523309418038,
24.8,1.6145216986856934,1.3095216986856935,
24.82,1.5985203196027282,1.2935203196027283,
24.84,1.582519179195971,1.277519179195971,
24.86,1.56651828477927,1.26151828477927,
24.88,1.5505176439682602,1.2455176439682603,
