episode_id,candidate_id,start_odom_x,start_odom_y,start_odom_yaw,end_odom_x,end_odom_y,end_odom_yaw,actual_displacement,expected_distance,progress_ratio,actual_min_range_raw,rollout_front_min,rollout_left_min,rollout_right_min,actual_min_range,stuck,scenario_family,scenario_expected_risk_hint,scenario_obstacle_speed,scenario_obstacle_heading
1,C0,3.42289857973338,5.294788420757919,-0.007200000024612185,4.076936047656956,5.756522637393071,1.1784000000620942,0.8006019586908091,0.8999999999999999,0.8895577318786768,1.8610715866088867,3.379972457885742,2.630591869354248,3.5,2.630591869354248,0,safe_far,safe,0.12597912754427099,3.141592653589793
1,C1,4.076936047656996,5.756522637392979,1.1784000000612502,4.167229894114537,6.439130291282397,1.6712000000959046,0.6885536927912839,0.8999999999999999,0.7650596586569821,1.8471605777740479,3.1001665592193604,3.5,3.5,3.1001665592193604,0,safe_far,safe,0.12597912754427099,3.141592653589793
1,C2,4.167229894114665,6.439130291282357,1.671200000095383,4.097586570851215,7.130431128490404,1.6712000000974259,0.6947999999998014,0.8999999999999999,0.7719999999997793,1.8569819927215576,3.0053863525390625,3.186467170715332,3.5,3.0053863525390625,0,safe_far,safe,0.12597912754427099,3.141592653589793
1,C3,4.0975865708513135,7.130431128490637,1.6712000000968261,4.208530402469855,7.812354421515658,1.1768000000653345,0.6908892178521036,0.8999999999999999,0.7676546865023374,1.857664704322815,3.4710452556610107,3.084548234939575,3.5,3.084548234939575,0,safe_far,safe,0.12597912754427099,3.141592653589793
1,C4,4.208530402469952,7.812354421515805,1.1768000000651566,4.748142952394499,8.222053077745512,0.1799999999873878,0.6775209907836796,0.8999999999999999,0.7528011008707551,1.8606709241867065,3.5,3.158459186553955,3.5,3.158459186553955,0,safe_far,safe,0.12597912754427099,3.141592653589793
2,C0,4.748142952394631,8.222053077745324,0.17999999998683266,5.2732160261948255,8.688025237474452,1.213600000054047,0.702019790655942,0.8999999999999999,0.7800219896177134,1.868891954421997,3.3846585750579834,2.725492477416992,3.5,2.725492477416992,0,safe_side,safe,0.14371553477652743,0.0
2,C1,5.2732160261949526,8.688025237474484,1.2136000000551237,5.339104757208267,9.375765440208635,1.7080000000930105,0.6908892178427422,0.8999999999999999,0.7676546864919358,1.856611728668213,3.1141791343688965,3.5,3.5,3.1141791343688965,0,safe_side,safe,0.14371553477652743,0.0
2,C2,5.3391047572084105,9.375765440208442,1.7080000000934434,5.243253814630485,10.069979554733731,1.7080000000952975,0.7007999999994352,0.8999999999999999,0.7786666666660392,1.8646501302719116,2.977905035018921,3.157965898513794,3.5,2.977905035018921,0,safe_side,safe,0.14371553477652743,0.0
2,C3,5.243253814630566,10.06997955473399,1.708000000094365,5.340688983010973,10.785753200920992,1.1920000000582884,0.7223749197010876,0.8999999999999999,0.8026387996678752,1.8439770936965942,3.478454113006592,3.0519936084747314,3.5,3.0519936084747314,0,safe_side,safe,0.14371553477652743,0.0
2,C4,5.3406889830109705,10.785753200920764,1.192000000058577,5.8634325706673485,11.20143531743863,0.20959999998622947,0.6678716047479739,0.8999999999999999,0.7420795608310822,1.8493000268936157,3.5,3.1738710403442383,3.5,3.1738710403442383,0,safe_side,safe,0.14371553477652743,0.0
3,C0,5.863432570667256,11.201435317438357,0.20959999998654036,6.405029390411704,11.806064485370293,1.4128000000658925,0.8117287390941416,0.8999999999999999,0.9019208212157129,1.8389397859573364,3.4068987369537354,2.624207019805908,3.5,2.624207019805908,0,static_center,risky,0.0,0.0
3,C1,6.405029390411556,11.806064485370126,1.412800000065959,6.272930596138998,12.640813058634192,2.0136000001125898,0.8451362446461863,0.8999999999999999,0.939040271829096,1.8608605861663818,3.1024489402770996,3.5,3.5,3.1024489402770996,0,static_center,risky,0.0,0.0
3,C2,6.272930596139124,12.640813058633885,2.0136000001133447,5.905299547381149,13.41606231660743,2.0136000001175525,0.8579999999996629,0.8999999999999999,0.9533333333329589,1.8565561771392822,2.85380220413208,2.98418927192688,3.5,2.85380220413208,0,static_center,risky,0.0,0.0
3,C3,5.905299547380757,13.416062316608162,2.013600000123681,5.801500999257805,14.277969697699557,1.3968000000800096,0.8681350541086683,0.8999999999999999,0.9645945045651871,1.8506578207015991,3.4972116947174072,2.978184938430786,3.5,2.978184938430786,0,static_center,risky,0.0,0.0
3,C4,5.801500999258105,14.277969697700486,1.3968000000818084,6.408905499020056,14.84479157816755,0.16319999999641954,0.8307991757983906,0.8999999999999999,0.9231101953315451,1.8462822437286377,3.5,3.1501376628875732,3.5,3.1501376628875732,0,static_center,risky,0.0,0.0
4,C0,6.408905499021193,14.844791578167369,0.1631999999972633,6.944330665723536,15.308591990209283,1.206400000066452,0.7083720289145252,0.8999999999999999,0.7870800321272503,1.8527710437774658,3.399608612060547,2.703648567199707,3.5,2.703648567199707,0,cross_left_to_right,risky,0.3313706905056669,1.5707963267948966
4,C1,6.944330665723665,15.308591990210223,1.206400000067962,7.012898221191574,16.012485659396937,1.7120000001030178,0.707225428830143,0.8999999999999999,0.7858060320334923,1.8487226963043213,3.075873613357544,3.5,3.5,3.075873613357544,0,cross_left_to_right,risky,0.3313706905056669,1.5707963267948966
4,C2,7.012898221191222,16.012485659397846,1.712000000104994,6.913426786899487,16.71225110135677,1.7120000001070146,0.7068000000000162,0.8999999999999999,0.7853333333333514,1.8590673208236694,2.9664013385772705,3.1488845348358154,3.5,2.9664013385772705,0,cross_left_to_right,risky,0.3313706905056669,1.5707963267948966
4,C3,6.913426786899173,16.71225110135746,1.7120000001088131,6.998550183838661,17.403757612942346,1.2136000000718772,0.6967260927156502,0.8999999999999999,0.7741401030173892,1.849279522895813,3.5,3.0692288875579834,3.5,3.0692288875579834,0,cross_left_to_right,risky,0.3313706905056669,1.5707963267948966
4,C4,6.998550183838883,17.40375761294353,1.2136000000729652,7.530937194290782,17.834793056709554,0.20560000001169426,0.6850018121731393,0.8999999999999999,0.7611131246368215,1.8476639986038208,3.5,3.156100034713745,3.5,3.156100034713745,0,cross_left_to_right,risky,0.3313706905056669,1.5707963267948966
5,C0,7.530937194291725,17.834793056709287,0.20560000001318193,8.048467604376857,18.327712647677927,1.258400000086688,0.7147079463134407,0.8999999999999999,0.7941199403482675,1.8581783771514893,3.390291452407837,2.703670024871826,3.5,2.703670024871826,0,cross_right_to_left,risky,0.2689580086076474,-1.5707963267948966
5,C1,8.048467604377503,18.327712647678833,1.2584000000889308,8.077281682453682,19.04951267089644,1.7744000001239746,0.7223749197005103,0.8999999999999999,0.8026387996672337,1.8623075485229492,3.118363380432129,3.5,3.5,3.118363380432129,0,cross_right_to_left,risky,0.2689580086076474,-1.5707963267948966
5,C2,8.077281682453817,19.049512670897368,1.7744000001262619,7.933638892700111,19.74523884472668,1.7744000001283708,0.7103999999995773,0.8999999999999999,0.7893333333328637,1.854867696762085,2.974120616912842,3.1510844230651855,3.5,2.974120616912842,0,cross_right_to_left,risky,0.2689580086076474,-1.5707963267948966
5,C3,7.933638892699841,19.745238844727552,1.7744000001300142,7.983366892655408,20.465900104009087,1.2584000001081153,0.7223749196980943,0.8999999999999999,0.8026387996645493,1.8522827625274658,3.4583277702331543,3.061558961868286,3.5,3.061558961868286,0,cross_right_to_left,risky,0.2689580086076474,-1.5707963267948966
