episode_id,candidate_id,robot_v,robot_w,lidar_front_min,lidar_left_min,lidar_right_min,traj_v,traj_w,traj_duration,traj_length,traj_max_abs_w,traj_curvature,traj_end_x_rel,traj_end_y_rel,traj_end_yaw_rel,scenario_family,obs_rel_x0,obs_rel_y0,obs_speed,obs_heading_rel,obs_world_x0,obs_world_y0
1,C0,5.88418203051333e-13,-1.5265566588595902e-12,3.5,3.5,3.5,0.3,0.4,3.0,0.8999999999999999,0.4,1.3333333333333335,0.7085007417641406,0.4641873319279901,1.2000000000000008,safe_far,4.504863900796387,0.8150265307738653,0.12597912754427099,3.141592653589793,-8.495136099203613,0.8150265307738653
1,C1,5.88418203051333e-13,-1.5265566588595902e-12,3.5,3.5,3.5,0.3,0.2,3.0,0.8999999999999999,0.2,0.6666666666666667,0.8495554435570221,0.2535182072570806,0.6000000000000004,safe_far,4.504863900796387,0.8150265307738653,0.12597912754427099,3.141592653589793,-8.495136099203613,0.8150265307738653
1,C2,5.995204332975845e-13,-1.3877787807814457e-12,3.5,3.5,3.5,0.3,0.0,3.0,0.8999999999999999,0.0,0.0,0.9000000000000006,0.0,0.0,safe_far,4.504863900796387,0.8150265307738653,0.12597912754427099,3.141592653589793,-8.495136099203613,0.8150265307738653
1,C3,4.884981308350689e-13,0.0,3.5,3.5,3.5,0.3,-0.2,3.0,0.8999999999999999,0.2,0.6666666666666667,0.8495554435570221,-0.2535182072570806,-0.6000000000000004,safe_far,4.504863900796387,0.8150265307738653,0.12597912754427099,3.141592653589793,-8.495136099203613,0.8150265307738653
1,C4,7.105427357601002e-13,-2.7755575615628914e-12,3.5,3.5,3.5,0.3,-0.4,3.0,0.8999999999999999,0.4,1.3333333333333335,0.7085007417641406,-0.4641873319279901,-1.2000000000000008,safe_far,4.504863900796387,0.8150265307738653,0.12597912754427099,3.141592653589793,-8.495136099203613,0.8150265307738653
2,C0,7.105427357601002e-13,-2.7755575615628914e-12,3.5,3.5,3.5,0.3,0.4,3.0,0.8999999999999999,0.4,1.3333333333333335,0.7085007417641406,0.4641873319279901,1.2000000000000008,safe_side,1.0815068561101455,-1.6135749296195085,0.14371553477652743,0.0,-11.918493143889854,-1.6135749296195085
2,C1,6.217248937900877e-13,-2.220446049250313e-12,3.5,3.5,3.5,0.3,0.2,3.0,0.8999999999999999,0.2,0.6666666666666667,0.8495554435570221,0.2535182072570806,0.6000000000000004,safe_side,1.0815068561101455,-1.6135749296195085,0.14371553477652743,0.0,-11.918493143889854,-1.6135749296195085
2,C2,4.884981308350689e-13,0.0,3.5,3.5,3.5,0.3,0.0,3.0,0.8999999999999999,0.0,0.0,0.9000000000000006,0.0,0.0,safe_side,1.0815068561101455,-1.6135749296195085,0.14371553477652743,0.0,-11.918493143889854,-1.6135749296195085
2,C3,0.0,0.0,3.5,3.5,3.5,0.3,-0.2,3.0,0.8999999999999999,0.2,0.6666666666666667,0.8495554435570221,-0.2535182072570806,-0.6000000000000004,safe_side,1.0815068561101455,-1.6135749296195085,0.14371553477652743,0.0,-11.918493143889854,-1.6135749296195085
2,C4,7.105427357601002e-13,-2.7755575615628914e-12,3.5,3.5,3.5,0.3,-0.4,3.0,0.8999999999999999,0.4,1.3333333333333335,0.7085007417641406,-0.4641873319279901,-1.2000000000000008,safe_side,1.0815068561101455,-1.6135749296195085,0.14371553477652743,0.0,-11.918493143889854,-1.6135749296195085
3,C0,7.105427357601002e-13,-2.7755575615628914e-12,3.5,3.5,3.5,0.3,0.4,3.0,0.8999999999999999,0.4,1.3333333333333335,0.7085007417641406,0.4641873319279901,1.2000000000000008,static_center,0.5719146350660509,-0.023673274021059745,0.0,0.0,-12.428085364933949,-0.023673274021059745
3,C1,6.217248937900877e-13,-1.6653345369377348e-12,3.5,3.5,3.5,0.3,0.2,3.0,0.8999999999999999,0.2,0.6666666666666667,0.8495554435570221,0.2535182072570806,0.6000000000000004,static_center,0.5719146350660509,-0.023673274021059745,0.0,0.0,-12.428085364933949,-0.023673274021059745
3,C2,6.883382752675971e-13,-1.942890293094024e-12,3.5,3.5,3.5,0.3,0.0,3.0,0.8999999999999999,0.0,0.0,0.9000000000000006,0.0,0.0,static_center,0.5719146350660509,-0.023673274021059745,0.0,0.0,-12.428085364933949,-0.023673274021059745
3,C3,7.549516567451064e-13,2.7755575615628914e-12,3.5,3.5,3.5,0.3,-0.2,3.0,0.8999999999999999,0.2,0.6666666666666667,0.8495554435570221,-0.2535182072570806,-0.6000000000000004,static_center,0.5719146350660509,-0.023673274021059745,0.0,0.0,-12.428085364933949,-0.023673274021059745
3,C4,8.881784197001252e-13,0.0,3.5,3.5,3.5,0.3,-0.4,3.0,0.8999999999999999,0.4,1.3333333333333335,0.7085007417641406,-0.4641873319279901,-1.2000000000000008,static_center,0.5719146350660509,-0.023673274021059745,0.0,0.0,-12.428085364933949,-0.023673274021059745
