episode_id,scenario_family,scenario_expected_risk_hint,obstacle_start_x,obstacle_start_y,obstacle_speed,obstacle_heading,motion_model,seed
1,safe_far,safe,-8.495136099203613,0.8150265307738653,0.12597912754427099,3.141592653589793,linear,42
2,safe_side,safe,-11.918493143889854,-1.6135749296195085,0.14371553477652743,0.0,linear,42
3,static_center,risky,-12.428085364933949,-0.023673274021059745,0.0,0.0,static,42
4,cross_left_to_right,risky,-12.334820779813004,-0.8643202204594693,0.3313706905056669,1.5707963267948966,linear,42
5,cross_right_to_left,risky,-12.293677007810407,0.922582608400809,0.2689580086076474,-1.5707963267948966,linear,42
6,head_on,risky,-11.731336952715548,0.04633192621080906,0.4198236296568688,3.141592653589793,linear,42
7,same_direction_slow,risky,-12.414469409695828,-0.058458812877726966,0.09511918327122522,0.0,linear,42
8,diagonal_cross,risky,-12.267926610782064,0.627444035665694,0.3853180220508466,-1.8320419773947634,linear,42
9,static_center,risky,-12.25530482066395,0.02606462250646166,0.0,0.0,static,42
10,head_on,risky,-11.882005749685172,-0.09357256669374188,0.31445142910896934,3.141592653589793,linear,42
11,safe_far,safe,-8.53425750361193,-1.4533368882319277,0.0893000390144047,0.0,linear,42
12,safe_side,safe,-11.959715819399955,-2.144565218112492,0.0891525847076848,0.0,linear,42
13,static_center,risky,-12.435554244201313,0.050284132523173014,0.0,0.0,static,42
14,cross_left_to_right,risky,-12.38481207076989,-0.8004917068490252,0.4429286846125313,1.5707963267948966,linear,42
15,cross_right_to_left,risky,-12.327815780344306,0.6750058192005318,0.3750269521043458,-1.5707963267948966,linear,42
16,head_on,risky,-11.455306899628447,-0.05760595841854291,0.28022021165637745,3.141592653589793,linear,42
17,same_direction_slow,risky,-12.395939373628298,-0.06426108654996462,0.15274287053348828,0.0,linear,42
18,diagonal_cross,risky,-12.343715941633127,-0.7042906330797136,0.26097126994618786,1.5847638611178576,linear,42
19,static_center,risky,-12.405078028534618,-0.0168772353935034,0.0,0.0,static,42
20,head_on,risky,-11.480861865650212,0.0385488034233786,0.21885563954862988,3.141592653589793,linear,42
21,safe_far,safe,-8.432486389113206,-0.9838309592136872,0.0940244713091199,3.141592653589793,linear,42
22,safe_side,safe,-12.48399236018408,-1.8687546339822512,0.052033353588267356,0.0,linear,42
23,static_center,risky,-12.227474736786208,0.07881903146996327,0.0,0.0,static,42
24,cross_left_to_right,risky,-12.39627060753839,-0.8986196621777208,0.41772418155493496,1.5707963267948966,linear,42
25,cross_right_to_left,risky,-12.50315935200053,0.7893701928509572,0.3656152006460071,-1.5707963267948966,linear,42
26,head_on,risky,-11.629069807877835,-0.01525622836671095,0.35642618758254574,3.141592653589793,linear,42
27,same_direction_slow,risky,-12.40864044769774,0.07890983165252732,0.1137404591764812,0.0,linear,42
28,diagonal_cross,risky,-12.426983298332367,0.7619409398287844,0.3786898327648379,-1.4504589016394513,linear,42
29,static_center,risky,-12.262256496492409,-0.07006528233171826,0.0,0.0,static,42
30,head_on,risky,-11.846922817181332,-0.06492417847047316,0.2935770750458415,3.141592653589793,linear,42
31,safe_far,safe,-8.362296074772033,-0.10627615528091172,0.12998384101228444,3.141592653589793,linear,42
32,safe_side,safe,-12.440974724286306,-1.6371847598593756,0.2223843688020831,0.0,linear,42
33,static_center,risky,-12.200340199229707,0.05116117631946182,0.0,0.0,static,42
34,cross_left_to_right,risky,-12.206468737875428,-0.9687589485504512,0.483639281128404,1.5707963267948966,linear,42
35,cross_right_to_left,risky,-12.44760903627109,0.9763113065331849,0.29326882061032,-1.5707963267948966,linear,42
36,head_on,risky,-11.661430521772106,0.06610757757195346,0.28617913243603066,3.141592653589793,linear,42
37,same_direction_slow,risky,-12.244123386043592,0.010025899208909006,0.07449922950563453,0.0,linear,42
