episode_id,candidate_id,sample_idx,t_rel_s,robot_world_x,robot_world_y,robot_world_yaw,robot_world_z,odom_x,odom_y,odom_yaw,odom_v,odom_w,lidar_front,lidar_left,lidar_right,human_01_x,human_01_y,human_01_yaw,human_01_z,human_02_x,human_02_y,human_02_yaw,human_02_z,human_03_x,human_03_y,human_03_yaw,human_03_z,human_04_x,human_04_y,human_04_yaw,human_04_z
1,C0,0,0.0,-13.001971551367115,9.893546300322638e-10,-4.3427518881515715e-09,0.010157823598422329,1.5272433929046162e-07,-5.602645277715214e-19,-7.589779175305297e-12,6.305411118136199e-13,-8.345342978294608e-13,3.5,3.5,3.5,-11.400007248936307,-2.0106336127819067e-09,3.1415926535897922,0.8499998512581044,-12.199999998836136,-1.1999979471112858,1.5707963267948934,0.8500000019269202,-10.00000205288851,2.0000000008835346,-3.275002860259652e-15,0.8500000019269255,-9.500003250701335,1.1999960000344347,-8.796117386153897e-07,0.8499999999991371
1,C0,1,0.9920000000000044,-13.002017112645795,9.87556212724039e-10,-4.407372137657116e-09,0.0101878554072891,1.5272433929046162e-07,-5.602645277715214e-19,-7.589779175305297e-12,6.305411118136199e-13,-8.345342978294608e-13,3.5,3.5,3.5,-11.401407248517094,-2.010473443283378e-09,3.1415926535897922,0.8499998320664427,-12.199999998836136,-1.198397947111537,1.5707963267948934,0.8500000021780503,-9.998802052888259,2.0000000008835355,-3.2750028602604425e-15,0.8500000021780563,-9.500003250701335,1.1999960000344347,-8.796117386153897e-07,0.8499999999991371
1,C0,2,0.9920000000000044,-13.002071014453264,9.746628457297642e-10,-4.903136810581532e-09,0.010187120545196108,1.5272433972368512e-07,-5.602645310568416e-19,-7.593110906445991e-12,3.258534047403954e-13,-5.002118411142605e-13,3.5,3.5,3.5,-11.408407248515964,-2.010473010328552e-09,3.1415926535897922,0.8499998320176352,-12.199999998836136,-1.1903979471115373,1.5707963267948934,0.8500000021786889,-9.992802052888255,2.0000000008835355,-3.2750028602604444e-15,0.850000002178695,-9.500003250701335,1.1999960000344347,-8.796117386153897e-07,0.8499999999991371
1,C0,3,0.9920000000000044,-13.002071014453264,9.746628457297642e-10,-4.903136810581532e-09,0.010187120545196108,1.5272433972368512e-07,-5.602645310568416e-19,-7.593110906445991e-12,3.258534047403954e-13,-5.002118411142605e-13,3.5,3.5,3.5,-11.408407248515964,-2.010473010328552e-09,3.1415926535897922,0.8499998320176352,-12.199999998836136,-1.1903979471115373,1.5707963267948934,0.8500000021786889,-9.992802052888255,2.0000000008835355,-3.2750028602604444e-15,0.850000002178695,-9.500003250701335,1.1999960000344347,-8.796117386153897e-07,0.8499999999991371
1,C0,4,1.019999999999996,-13.00213323969107,9.352320697937783e-10,-6.452938748759527e-09,0.010155682615888393,1.5272433972368512e-07,-5.602645310568416e-19,-7.593110906445991e-12,3.258534047403954e-13,-5.002118411142605e-13,3.5,3.5,3.5,-11.415407248514834,-2.0104725772481623e-09,3.1415926535897922,0.8499998319688278,-12.199999998836136,-1.1823979471115378,1.5707963267948934,0.8500000021793276,-9.98680205288825,2.0000000008835355,-3.275002860260447e-15,0.8500000021793336,-9.500003250701335,1.1999960000344347,-8.796117386153897e-07,0.8499999999991371
1,C0,5,1.019999999999996,-13.00213323969107,9.352320697937783e-10,-6.452938748759527e-09,0.010155682615888393,1.5272433721156534e-07,-5.602645119820377e-19,-7.593110906776864e-12,-5.1972406065434725e-14,-8.32932867891752e-14,3.5,3.5,3.5,-11.415407248514834,-2.0104725772481623e-09,3.1415926535897922,0.8499998319688278,-12.199999998836136,-1.1823979471115378,1.5707963267948934,0.8500000021793276,-9.98680205288825,2.0000000008835355,-3.275002860260447e-15,0.8500000021793336,-9.500003250701335,1.1999960000344347,-8.796117386153897e-07,0.8499999999991371
1,C0,6,1.019999999999996,-13.002203800644043,8.692773486385877e-10,-9.056792646747961e-09,0.010093534552745805,1.5272433721156534e-07,-5.602645119820377e-19,-7.593110906776864e-12,-5.1972406065434725e-14,-8.32932867891752e-14,3.5,3.5,3.5,-11.422407248513704,-2.0104721440422083e-09,3.1415926535897922,0.8499998319200204,-12.199999998836136,-1.1743979471115382,1.5707963267948934,0.8500000021799663,-9.980802052888246,2.0000000008835355,-3.2750028602604488e-15,0.8500000021799723,-9.500003250701335,1.1999960000344347,-8.796117386153897e-07,0.8499999999991371
1,C0,7,1.0480000000000018,-13.002203800644043,8.692773486385877e-10,-9.056792646747961e-09,0.010093534552745805,1.5272433721156534e-07,-5.602645119820377e-19,-7.593110906776864e-12,-5.1972406065434725e-14,-8.32932867891752e-14,3.5,3.5,3.5,-11.422407248513704,-2.0104721440422083e-09,3.1415926535897922,0.8499998319200204,-12.199999998836136,-1.1743979471115382,1.5707963267948934,0.8500000021799663,-9.980802052888246,2.0000000008835355,-3.2750028602604488e-15,0.8500000021799723,-9.500003250701335,1.1999960000344347,-8.796117386153897e-07,0.8499999999991371
1,C0,8,1.0480000000000018,-13.002282721919713,7.768202580449384e-10,-1.2714715890112841e-08,0.010000661535464172,1.5272433470024513e-07,-5.60264492913305e-19,-7.593110906280555e-12,-1.2558599869129868e-13,4.135903062765138e-21,3.5,3.5,3.5,-11.429407248512574,-2.01047171071069e-09,3.1415926535897922,0.8499998318712129,-12.199999998836136,-1.1663979471115387,1.5707963267948934,0.850000002180605,-9.974802052888242,2.000000000883536,-3.2750028602604508e-15,0.850000002180611,-9.500003250701335,1.1999960000344347,-8.796117386153897e-07,0.8499999999991371
1,C0,9,1.0480000000000018,-13.002282721919713,7.768202580449384e-10,-1.2714715890112841e-08,0.010000661535464172,1.5272433470024513e-07,-5.60264492913305e-19,-7.593110906280555e-12,-1.2558599869129868e-13,4.135903062765138e-21,3.5,3.5,3.5,-11.429407248512574,-2.01047171071069e-09,3.1415926535897922,0.8499998318712129,-12.199999998836136,-1.1663979471115387,1.5707963267948934,0.850000002180605,-9.974802052888242,2.000000000883536,-3.2750028602604508e-15,0.850000002180611,-9.500003250701335,1.1999960000344347,-8.796117386153897e-07,0.8499999999991371
