episode_id,candidate_id,sample_idx,t_rel_s,robot_world_x,robot_world_y,robot_world_yaw,robot_world_z,odom_x,odom_y,odom_yaw,odom_v,odom_w,lidar_front,lidar_left,lidar_right,human_01_x,human_01_y,human_01_yaw,human_01_z,human_02_x,human_02_y,human_02_yaw,human_02_z,human_03_x,human_03_y,human_03_yaw,human_03_z,human_04_x,human_04_y,human_04_yaw,human_04_z,robot_world_recon_x,robot_world_recon_y
1,C0,0,0.0,-13.001948228169349,9.900508699559709e-10,-4.311607625045072e-09,0.010125013143371858,1.5272431408070364e-07,-5.6026433687181e-19,-7.556508846599089e-12,6.323471180751919e-13,-8.370833086537828e-13,3.5,3.5,3.5,-11.399992749705133,1.7308345183565784e-09,3.1415926535897922,0.8499999507150526,-12.20000000088353,-1.2000020528893196,1.5707963267948934,0.8500000006256616,-9.999992749705335,2.0000000020111526,-3.041600664013666e-16,0.8499999507150562,-9.499999905210617,1.1999960000344396,4.307820276744155e-07,0.850000000000006,-13.00148005444704,1.014806945369926e-09
1,C0,1,0.9640000000000022,-13.001988766315112,9.82551541202916e-10,-4.6158439634684745e-09,0.01017355886079247,1.5272431408070364e-07,-5.6026433687181e-19,-7.556508846599089e-12,6.323471180751919e-13,-8.370833086537828e-13,3.5,3.5,3.5,-11.40699274991414,1.7307663052994404e-09,3.1415926535897922,0.8499999261103871,-12.20000000088353,-1.192002052889196,1.5707963267948934,0.8500000009475592,-9.993992749914337,2.0000000020110726,-3.0416006640141247e-16,0.8499999261103924,-9.499999905210617,1.1999960000344396,4.307820276744155e-07,0.850000000000006,-13.00148005444704,1.014806945369926e-09
1,C0,2,0.9640000000000022,-13.001988766315112,9.82551541202916e-10,-4.6158439634684745e-09,0.01017355886079247,1.5272432670143542e-07,-5.602644323458946e-19,-7.573213401231265e-12,6.314881204566853e-13,-8.358694169689582e-13,3.5,3.5,3.5,-11.40699274991414,1.7307663052994404e-09,3.1415926535897922,0.8499999261103871,-12.20000000088353,-1.192002052889196,1.5707963267948934,0.8500000009475592,-9.993992749914337,2.0000000020110726,-3.0416006640141247e-16,0.8499999261103924,-9.499999905210617,1.1999960000344396,4.307820276744155e-07,0.850000000000006,-13.001480054447025,1.0148069453699339e-09
1,C0,3,0.9640000000000022,-13.002037635068513,9.495406260125224e-10,-5.932579467289072e-09,0.010191392330235652,1.5272432670143542e-07,-5.602644323458946e-19,-7.573213401231265e-12,6.314881204566853e-13,-8.358694169689582e-13,3.5,3.5,3.5,-11.41399274991464,1.7307661437200117e-09,3.1415926535897922,0.849999926061569,-12.20000000088353,-1.1840020528891955,1.5707963267948934,0.8500000009481978,-9.987992749914833,2.0000000020110726,-3.0416006640141247e-16,0.8499999260615744,-9.499999905210617,1.1999960000344396,4.307820276744155e-07,0.850000000000006,-13.001480054447025,1.0148069453699339e-09
1,C0,4,0.9960000000000022,-13.002037635068513,9.495406260125224e-10,-5.932579467289072e-09,0.010191392330235652,1.5272432670143542e-07,-5.602644323458946e-19,-7.573213401231265e-12,6.314881204566853e-13,-8.358694169689582e-13,3.5,3.5,3.5,-11.41399274991464,1.7307661437200117e-09,3.1415926535897922,0.849999926061569,-12.20000000088353,-1.1840020528891955,1.5707963267948934,0.8500000009481978,-9.987992749914833,2.0000000020110726,-3.0416006640141247e-16,0.8499999260615744,-9.499999905210617,1.1999960000344396,4.307820276744155e-07,0.850000000000006,-13.001480054447025,1.0148069453699339e-09
1,C0,5,0.9960000000000022,-13.002094825782358,8.900008602885529e-10,-8.303343127730122e-09,0.010178523244995737,1.527243397355753e-07,-5.602645311657632e-19,-7.593221796955421e-12,3.258534957302628e-13,-5.002098931039179e-13,3.5,3.5,3.5,-11.42099274991514,1.7307659820332903e-09,3.1415926535897922,0.849999926012751,-12.20000000088353,-1.176002052889195,1.5707963267948934,0.8500000009488365,-9.981992749915326,2.000000002011072,-3.0416006640141247e-16,0.8499999260127563,-9.499999905210617,1.1999960000344396,4.307820276744155e-07,0.850000000000006,-13.001480054447013,1.0148069453699421e-09
1,C0,6,0.9960000000000022,-13.002160343282524,8.039529627145881e-10,-1.1728134703520204e-08,0.010134949269445869,1.527243397355753e-07,-5.602645311657632e-19,-7.593221796955421e-12,3.258534957302628e-13,-5.002098931039179e-13,3.5,3.5,3.5,-11.427992749915639,1.730765820239276e-09,3.1415926535897922,0.849999925963933,-12.20000000088353,-1.1680020528891943,1.5707963267948934,0.8500000009494753,-9.975992749915822,2.000000002011072,-3.0416006640141247e-16,0.8499999259639384,-9.499999905210617,1.1999960000344396,4.307820276744155e-07,0.850000000000006,-13.001480054447013,1.0148069453699421e-09
1,C0,7,1.032,-13.002160343282524,8.039529627145881e-10,-1.1728134703520204e-08,0.010134949269445869,1.527243397355753e-07,-5.602645311657632e-19,-7.593221796955421e-12,3.258534957302628e-13,-5.002098931039179e-13,3.5,3.5,3.5,-11.427992749915639,1.730765820239276e-09,3.1415926535897922,0.849999925963933,-12.20000000088353,-1.1680020528891943,1.5707963267948934,0.8500000009494753,-9.975992749915822,2.000000002011072,-3.0416006640141247e-16,0.8499999259639384,-9.499999905210617,1.1999960000344396,4.307820276744155e-07,0.850000000000006,-13.001480054447013,1.0148069453699421e-09
1,C0,8,1.032,-13.002234204726017,6.91425771341937e-10,-1.6206954093591194e-08,0.010060660258820407,1.52724337223456e-07,-5.60264512090684e-19,-7.593221798609782e-12,-5.197238522048329e-14,-8.329399402859894e-14,3.5,3.5,3.5,-11.43499274991614,1.7307656583379703e-09,3.1415926535897922,0.849999925915115,-12.20000000088353,-1.160002052889194,1.5707963267948934,0.850000000950114,-9.969992749916315,2.000000002011072,-3.0416006640141247e-16,0.8499999259151203,-9.499999905210617,1.1999960000344396,4.307820276744155e-07,0.850000000000006,-13.001480054447017,1.0148069453699405e-09
1,C0,9,1.032,-13.002234204726017,6.91425771341937e-10,-1.6206954093591194e-08,0.010060660258820407,1.52724337223456e-07,-5.60264512090684e-19,-7.593221798609782e-12,-5.197238522048329e-14,-8.329399402859894e-14,3.5,3.5,3.5,-11.43499274991614,1.7307656583379703e-09,3.1415926535897922,0.849999925915115,-12.20000000088353,-1.160002052889194,1.5707963267948934,0.850000000950114,-9.969992749916315,2.000000002011072,-3.0416006640141247e-16,0.8499999259151203,-9.499999905210617,1.1999960000344396,4.307820276744155e-07,0.850000000000006,-13.001480054447017,1.0148069453699405e-09
