sim_time,obstacle_x,obstacle_y
15.055000000,2.055000000,0.000000000
15.061000000,2.061000000,0.000000000
15.067000000,2.067000000,0.000000000
15.074000000,2.074000000,0.000000000
15.082000000,2.082000000,0.000000000
15.085000000,2.085000000,0.000000000
15.091000000,2.091000000,0.000000000
15.100000000,2.100000000,0.000000000
15.106000000,2.106000000,0.000000000
15.114000000,2.114000000,0.000000000
15.125000000,2.125000000,0.000000000
15.130000000,2.130000000,0.000000000
15.138000000,2.138000000,0.000000000
15.146000000,2.146000000,0.000000000
15.156000000,2.156000000,0.000000000
15.162000000,2.162000000,0.000000000
15.170000000,2.170000000,0.000000000
15.179000000,2.179000000,0.000000000
15.191000000,2.191000000,0.000000000
15.201000000,2.201000000,0.000000000
15.208000000,2.208000000,0.000000000
15.215000000,2.215000000,0.000000000
15.224000000,2.224000000,0.000000000
15.239000000,2.239000000,0.000000000
15.245000000,2.245000000,0.000000000
15.249000000,2.249000000,0.000000000
15.252000000,2.252000000,0.000000000
15.258000000,2.258000000,0.000000000
15.265000000,2.265000000,0.000000000
15.271000000,2.271000000,0.000000000
15.278000000,2.278000000,0.000000000
15.291000000,2.291000000,0.000000000
15.301000000,2.301000000,0.000000000
15.312000000,2.312000000,0.000000000
15.328000000,2.328000000,0.000000000
15.335000000,2.335000000,0.000000000
15.341000000,2.341000000,0.000000000
15.348000000,2.348000000,0.000000000
15.354000000,2.354000000,0.000000000
15.369000000,2.369000000,0.000000000
15.376000000,2.376000000,0.000000000
15.381000000,2.381000000,0.000000000
15.390000000,2.390000000,0.000000000
15.401000000,2.401000000,0.000000000
15.410000000,2.410000000,0.000000000
15.420000000,2.420000000,0.000000000
15.428000000,2.428000000,0.000000000
15.441000000,2.441000000,0.000000000
15.455000000,2.455000000,0.000000000
15.461000000,2.461000000,0.000000000
15.471000000,2.471000000,0.000000000
15.474000000,2.474000000,0.000000000
15.486000000,2.486000000,0.000000000
15.495000000,2.495000000,0.000000000
15.500000000,2.500000000,0.000000000
15.508000000,2.508000000,0.000000000
15.524000000,2.524000000,0.000000000
15.536000000,2.536000000,0.000000000
15.552000000,2.552000000,0.000000000
15.569000000,2.569000000,0.000000000
15.583000000,2.583000000,0.000000000
15.594000000,2.594000000,0.000000000
15.609000000,2.609000000,0.000000000
15.623000000,2.623000000,0.000000000
15.637000000,2.637000000,0.000000000
15.651000000,2.651000000,0.000000000
15.660000000,2.660000000,0.000000000
15.672000000,2.672000000,0.000000000
15.685000000,2.685000000,0.000000000
15.691000000,2.691000000,0.000000000
15.700000000,2.700000000,0.000000000
15.712000000,2.712000000,0.000000000
15.719000000,2.719000000,0.000000000
15.725000000,2.725000000,0.000000000
15.739000000,2.739000000,0.000000000
15.745000000,2.745000000,0.000000000
15.756000000,2.756000000,0.000000000
15.770000000,2.770000000,0.000000000
15.780000000,2.780000000,0.000000000
15.795000000,2.795000000,0.000000000
15.802000000,2.802000000,0.000000000
15.815000000,2.815000000,0.000000000
15.824000000,2.824000000,0.000000000
15.836000000,2.836000000,0.000000000
15.845000000,2.845000000,0.000000000
15.855000000,2.855000000,0.000000000
15.865000000,2.865000000,0.000000000
15.874000000,2.874000000,0.000000000
15.884000000,2.884000000,0.000000000
15.889000000,2.889000000,0.000000000
15.898000000,2.898000000,0.000000000
15.910000000,2.910000000,0.000000000
15.918000000,2.918000000,0.000000000
15.930000000,2.930000000,0.000000000
15.939000000,2.939000000,0.000000000
15.951000000,2.951000000,0.000000000
15.960000000,2.960000000,0.000000000
15.971000000,2.971000000,0.000000000
15.987000000,2.987000000,0.000000000
16.001000000,3.001000000,0.000000000
16.007000000,3.007000000,0.000000000
16.014000000,3.014000000,0.000000000
16.022000000,3.022000000,0.000000000
16.032000000,3.032000000,0.000000000
16.037000000,3.037000000,0.000000000
16.048000000,3.048000000,0.000000000
16.055000000,3.055000000,0.000000000
16.064000000,3.064000000,0.000000000
16.073000000,3.073000000,0.000000000
16.083000000,3.083000000,0.000000000
16.096000000,3.096000000,0.000000000
16.109000000,3.109000000,0.000000000
16.126000000,3.126000000,0.000000000
16.142000000,3.142000000,0.000000000
16.152000000,3.152000000,0.000000000
16.162000000,3.162000000,0.000000000
16.174000000,3.174000000,0.000000000
16.192000000,3.192000000,0.000000000
16.207000000,3.207000000,0.000000000
16.215000000,3.215000000,0.000000000
16.227000000,3.227000000,0.000000000
16.244000000,3.244000000,0.000000000
16.259000000,3.259000000,0.000000000
16.275000000,3.275000000,0.000000000
16.284000000,3.284000000,0.000000000
16.294000000,3.294000000,0.000000000
16.305000000,3.305000000,0.000000000
16.316000000,3.316000000,0.000000000
16.330000000,3.330000000,0.000000000
16.344000000,3.344000000,0.000000000
16.357000000,3.357000000,0.000000000
16.371000000,3.371000000,0.000000000
16.377000000,3.377000000,0.000000000
16.392000000,3.392000000,0.000000000
16.401000000,3.401000000,0.000000000
16.410000000,3.410000000,0.000000000
16.419000000,3.419000000,0.000000000
16.425000000,3.425000000,0.000000000
16.431000000,3.431000000,0.000000000
16.441000000,3.441000000,0.000000000
16.458000000,3.458000000,0.000000000
16.470000000,3.470000000,0.000000000
16.484000000,3.484000000,0.000000000
16.492000000,3.492000000,0.000000000
16.504000000,3.504000000,0.000000000
16.510000000,3.510000000,0.000000000
16.522000000,3.522000000,0.000000000
16.535000000,3.535000000,0.000000000
16.552000000,3.552000000,0.000000000
16.566000000,3.566000000,0.000000000
16.574000000,3.574000000,0.000000000
16.588000000,3.588000000,0.000000000
16.600000000,3.600000000,0.000000000
16.614000000,3.614000000,0.000000000
16.622000000,3.622000000,0.000000000
16.631000000,3.631000000,0.000000000
16.641000000,3.641000000,0.000000000
16.650000000,3.650000000,0.000000000
16.656000000,3.656000000,0.000000000
16.663000000,3.663000000,0.000000000
16.671000000,3.671000000,0.000000000
16.681000000,3.681000000,0.000000000
16.695000000,3.695000000,0.000000000
16.711000000,3.711000000,0.000000000
16.727000000,3.727000000,0.000000000
16.738000000,3.738000000,0.000000000
16.749000000,3.749000000,0.000000000
16.760000000,3.760000000,0.000000000
16.767000000,3.767000000,0.000000000
16.773000000,3.773000000,0.000000000
16.781000000,3.781000000,0.000000000
16.787000000,3.787000000,0.000000000
16.795000000,3.795000000,0.000000000
16.802000000,3.802000000,0.000000000
16.804000000,3.804000000,0.000000000
16.810000000,3.810000000,0.000000000
16.822000000,3.822000000,0.000000000
16.832000000,3.832000000,0.000000000
16.842000000,3.842000000,0.000000000
16.850000000,3.850000000,0.000000000
16.861000000,3.861000000,0.000000000
16.870000000,3.870000000,0.000000000
16.883000000,3.883000000,0.000000000
16.888000000,3.888000000,0.000000000
16.892000000,3.892000000,0.000000000
16.899000000,3.899000000,0.000000000
16.908000000,3.908000000,0.000000000
16.920000000,3.920000000,0.000000000
16.927000000,3.927000000,0.000000000
16.939000000,3.939000000,0.000000000
16.952000000,3.952000000,0.000000000
16.961000000,3.961000000,0.000000000
16.978000000,3.978000000,0.000000000
16.994000000,3.994000000,0.000000000
17.003000000,4.003000000,0.000000000
17.016000000,4.016000000,0.000000000
17.023000000,4.023000000,0.000000000
17.029000000,4.029000000,0.000000000
17.036000000,4.036000000,0.000000000
17.047000000,4.047000000,0.000000000
17.059000000,4.059000000,0.000000000
17.073000000,4.073000000,0.000000000
17.086000000,4.086000000,0.000000000
17.099000000,4.099000000,0.000000000
17.112000000,4.112000000,0.000000000
17.127000000,4.127000000,0.000000000
17.141000000,4.141000000,0.000000000
17.156000000,4.156000000,0.000000000
17.167000000,4.167000000,0.000000000
