cmd_storage_time_s,cmd_sim_time,linear_x,angular_z,encounter_id,center_distance,clock_bracket_gap_s
1788523783.5865176,28.699110470049213,0.2,0.04210526315789473,1,0.7334187747747879,0.0042150020599365234
1788523783.9451513,28.768725806451613,0.2,-0.04210526315789474,1,0.7871103388804679,1.4781951904296875e-05
1788523783.945384,28.81651612903226,0.2,-0.04210526315789474,1,0.8241233458291984,7.3909759521484375e-06
1788523783.9807363,28.972794946631087,0.2,-0.04210526315789474,1,0.9458846439096023,0.0028591156005859375
1788523784.0874288,29.027021990245572,0.2,0.0,1,0.9883421123442906,0.002786397933959961
1788523784.1820092,29.078275623897152,0.2,-0.04210526315789474,1,1.0285477569611834,0.004729032516479492
1788523784.28245,29.134483324945034,0.2,-0.04210526315789474,1,1.0727150213321683,0.009000539779663086
1788523784.3831148,29.20374730951356,0.2,0.0,1,1.1272412796960654,0.0060923099517822266
1788523784.4795403,29.26665389214737,0.2,0.0,1,1.176842748139333,0.004186868667602539
1788523784.5802388,29.32969410219526,0.2,-0.04210526315789474,1,1.226611979561415,0.003812074661254883
1788523784.6947653,29.401999052082786,0.2,0.0,1,1.2837683269030482,0.00905466079711914
1788523784.785379,29.480991193903474,0.2,0.0,1,1.346289230203241,0.0014078617095947266
1788523784.8844805,29.53719959609559,0.2,0.0,1,1.3908172083892474,0.0007083415985107422
1788523784.980179,29.576997828274806,0.2,0.0,1,1.422363273605573,0.0045011043548583984
1788523785.0842285,29.641203286273576,0.2,0.0,1,1.4732846793725383,0.004019260406494141
1788523785.1910942,29.698998615006406,0.2,0.0,1,1.5191501977516817,0.0068857669830322266
1788523785.280311,29.749995987893293,0.2,0.0,1,1.5596410455220397,0.0033872127532958984
1788523785.3864477,29.817755924656996,0.2,0.0,1,1.613467620859092,0.015100717544555664
1788523785.4849656,29.900847898259705,0.2,0.0,1,1.6795110136097529,0.00890493392944336
1788523785.584822,29.96735779410463,0.2,0.0,1,1.732401379170482,0.0026934146881103516
1788523785.692561,30.01798574477817,0.2,0.0,1,1.7370172908713333,0.003127574920654297
1788523785.7826262,30.06601190883041,0.2,0.0,1,1.6800359348923068,0.009069204330444336
1788523785.8863535,30.134883561643836,0.2,0.0,1,1.598400793238096,3.4809112548828125e-05
1788523785.9854872,30.205759493670886,0.2,0.0,1,1.5145009180752536,1.8835067749023438e-05
1788523786.0839057,30.261291846419326,0.2,0.0,1,1.4488553192484073,0.0011053085327148438
1788523786.1885786,30.333777026401112,0.2,0.0,1,1.3633108982501574,0.002573728561401367
1788523786.2832322,30.408534792906984,0.2,0.04210526315789473,1,1.2752835465468069,0.003724336624145508
1788523786.3844056,30.46281094566767,0.2,0.0,1,1.211521682569367,0.009030818939208984
1788523786.4869046,30.50981905744754,0.2,0.0,1,1.1564161891862603,0.0027723312377929688
1788523786.5821602,30.564544791501508,0.2,0.0,1,1.0924288273924323,0.0030074119567871094
1788523786.684227,30.622876541759663,0.2,0.0,1,1.0244565657267002,0.004059314727783203
1788523786.785917,30.688993293523197,0.2,0.0,1,0.9477649552659051,0.002595186233520508
1788523786.881561,30.75426089108911,0.2,0.0,1,0.872518044890692,0.00385284423828125
1788523786.9840395,30.804918783956534,0.2,0.0,1,0.8145106367481432,0.0059680938720703125
1788523787.0815659,30.864113926499034,0.2,0.0,1,0.7472835737946814,0.0012326240539550781
1788523787.1838412,30.91703302373581,0.2,0.04210526315789473,1,0.6878279644683772,0.0009241104125976562
1788523787.2841573,30.98463753132832,0.2,0.0,1,0.6130402348789891,0.001522064208984375
1788523787.3856566,31.025873458102936,0.2,0.0,1,0.5682676589122504,0.007847309112548828
1788523787.484616,31.090238491547463,0.2,0.0,1,0.5001532747949946,0.0009167194366455078
1788523787.5830972,31.16917474142624,0.2,0.0,1,0.4209295741585319,0.0008759498596191406
1788523787.679869,31.214792960047525,0.2,0.0,1,0.37840094644756156,0.0032105445861816406
1788523787.785842,31.2650950258655,0.2,0.0,1,0.33562773564998355,0.002995729446411133
1788523787.8842812,31.29599457642655,0.2,0.0,1,0.3122432312940182,0.0031211376190185547
1788523787.9795365,31.360233612085246,0.2,0.0,1,0.2734854557086825,0.0017676353454589844
1788523788.082595,31.41865591054313,0.2,0.04210526315789473,1,0.25389162428839135,0.004477500915527344
1788523788.1820948,31.46410989103454,0.2,0.0,1,0.25141985917955817,0.005666971206665039
1788523788.2838423,31.51723362445415,0.2,0.0,1,0.2632173179377972,0.0024023056030273438
1788523788.3836405,31.586439340284606,0.2,0.0,1,0.29895845772441537,0.007271289825439453
1788523788.4867485,31.621615130049015,0.2,0.0,1,0.3238409075762643,0.013328075408935547
1788523788.592204,31.671521627565983,0.2,0.0,1,0.3646506535224332,0.001300811767578125
1788523788.6870003,31.72098302783435,0.2,0.0,1,0.40974356241079246,0.0017559528350830078
1788523788.7810054,31.774056124539126,0.2,0.0,1,0.46172587215906674,0.009893655776977539
1788523788.883506,31.825104854023262,0.2,0.0,1,0.5142112512121285,0.004017829895019531
1788523788.9870238,31.889893966059084,0.2,0.04210526315789473,1,0.5832867050646979,0.007586479187011719
1788523789.085842,31.95533172228615,0.2,0.04210526315789473,1,0.6550183345625481,0.003107786178588867
1788523789.191496,32.013001701542244,0.2,0.0,1,0.7193992731720261,0.006585597991943359
1788523789.2814548,32.07880731603573,0.2,0.0,1,0.7938462787297208,0.0011210441589355469
1788523789.3817034,32.12854510030307,0.2,0.04210526315789473,1,0.8506539124517823,0.003304004669189453
1788523789.4833708,32.1823280151612,0.2,0.0,1,0.91249044044203,0.010819196701049805
1788523789.5861797,32.20810572249226,0.2,0.0,1,0.9422546489872453,0.006474494934082031
1788523789.687668,32.24638969311775,0.2,0.04210526315789473,1,0.9865910316196409,0.016618013381958008
1788523789.7799134,32.28748548603321,0.2,0.0,1,1.0343372760370069,0.008714437484741211
1788523789.8842437,32.3395128052017,0.2,0.04210526315789473,1,1.0949803908086748,0.00359344482421875
1788523789.9852967,32.40647661459965,0.2,0.04210526315789473,1,1.1733044654743896,0.005326986312866211
