sim_time_s,robot_obstacle_center_distance_m,estimated_clearance_m,encounter_id
28.58,0.642337807668502,0.337337807668502,1
28.6,0.6575489222506896,0.3525489222506896,1
28.62,0.6727957937768948,0.3677957937768948,1
28.64,0.6880761831207992,0.3830761831207992,1
28.66,0.7033887903054274,0.3983887903054275,1
28.68,0.7187317012327977,0.4137317012327977,1
28.7,0.7341030158411869,0.4291030158411868,1
28.72,0.7495004179078502,0.4445004179078502,1
28.74,0.7649217667629314,0.4599217667629314,1
28.76,0.7803656310038416,0.47536563100384166,1
28.78,0.7958309578105343,0.4908309578105343,1
28.8,0.8113181034343033,0.5063181034343034,1
28.82,0.8268261157484154,0.5218261157484154,1
28.84,0.8423538581417243,0.5373538581417243,1
28.86,0.8579002751275011,0.5529002751275012,1
28.88,0.8734643853651646,0.5684643853651645,1
28.9,0.8890452753784982,0.5840452753784982,1
28.92,0.904642093892101,0.599642093892101,1
28.94,0.9202540467173104,0.6152540467173104,1
28.96,0.9358803921273757,0.6308803921273758,1
28.98,0.9515204366689014,0.6465204366689015,1
29.0,0.9671735313630266,0.6621735313630266,1
29.02,0.9828390682552252,0.6778390682552251,1
29.04,0.9985162783066893,0.6935162783066893,1
29.06,1.014203954018476,0.709203954018476,1
29.08,1.0299015661307243,0.7249015661307243,1
29.1,1.0456092054752137,0.7406092054752138,1
29.12,1.0613268018639734,0.7563268018639735,1
29.14,1.0770539343869476,0.7720539343869477,1
29.16,1.0927902063035593,0.7877902063035593,1
29.18,1.1085352433616804,0.8035352433616805,1
29.2,1.1242886922536628,0.8192886922536629,1
29.22,1.1400500043090198,0.8350500043090199,1
29.24,1.155818251302072,0.8508182513020721,1
29.26,1.1715931150386314,0.8665931150386315,1
29.28,1.1873743317984227,0.8823743317984227,1
29.3,1.203161651594035,0.8981616515940352,1
29.32,1.2189548372946881,0.9139548372946882,1
29.34,1.2347537897419214,0.9297537897419215,1
29.36,1.250558910481246,0.9455589104812461,1
29.38,1.266370064257594,0.961370064257594,1
29.4,1.2821870418488828,0.9771870418488828,1
29.42,1.298009520653235,0.993009520653235,1
29.44,1.3138367064586678,1.0088367064586679,1
29.46,1.3296683508352634,1.0246683508352634,1
29.48,1.3455042963999688,1.0405042963999689,1
29.5,1.3613443930510838,1.0563443930510839,1
29.52,1.3771884975541664,1.0721884975541665,1
29.54,1.3930364731558238,1.0880364731558239,1
29.56,1.4088881892231053,1.1038881892231054,1
29.58,1.4247435209066017,1.1197435209066018,1
29.6,1.4406023488254351,1.1356023488254352,1
29.62,1.4564645587725156,1.1514645587725156,1
29.64,1.472330041438566,1.1673300414385661,1
29.66,1.4881986921535726,1.1831986921535727,1
29.68,1.5040704106443137,1.1990704106443137,1
29.7,1.5199451008069107,1.2149451008069108,1
29.72,1.53582267049329,1.23082267049329,1
29.74,1.551703031310562,1.246703031310562,1
29.76,1.5675860984324512,1.2625860984324513,1
29.78,1.5834717904219153,1.2784717904219154,1
29.8,1.5993600290642294,1.2943600290642294,1
29.82,1.6152507392097681,1.3102507392097682,1
29.84,1.6311438486258982,1.3261438486258983,1
29.86,1.6470392878573232,1.3420392878573233,1
29.88,1.662936990094339,1.357936990094339,1
29.9,1.6788368910485423,1.3738368910485423,1
29.92,1.694738928835377,1.389738928835377,1
29.94,1.7106430438632292,1.4056430438632292,1
29.96,1.7265491787285587,1.4215491787285588,1
29.98,1.7424572781167118,1.4374572781167119,1
30.0,1.7544018647500177,1.4494018647500178,1
30.02,1.7346266135203119,1.429626613520312,1
30.04,1.7108929242428623,1.4058929242428624,1
30.06,1.6871665156920959,1.382166515692096,1
30.08,1.6634476994116432,1.3584476994116432,1
30.1,1.6397368048684262,1.3347368048684263,1
30.12,1.6160341807521685,1.3110341807521686,1
30.14,1.592340196388797,1.2873401963887972,1
30.16,1.5686552432796261,1.2636552432796262,1
30.18,1.5449797367793472,1.2399797367793473,1
30.2,1.5213141179276097,1.2163141179276098,1
30.22,1.4976588554507029,1.192658855450703,1
30.24,1.4740144479518953,1.1690144479518954,1
30.26,1.4503814263113346,1.1453814263113347,1
30.28,1.4267603563191174,1.1217603563191174,1
30.3,1.4031518415680382,1.0981518415680382,1
30.32,1.379556526636245,1.0745565266362451,1
30.34,1.3559751005938543,1.0509751005938543,1
30.36,1.3324083008722731,1.0274083008722732,1
30.38,1.3088569175403102,1.0038569175403103,1
30.4,1.2853217980373164,0.9803217980373164,1
30.42,1.2618037206411923,0.9568037206411923,1
30.44,1.2383029985870437,0.9333029985870438,1
30.46,1.2148205617935643,0.9098205617935644,1
30.48,1.1913577952712007,0.8863577952712007,1
30.5,1.1679164991489763,0.8629164991489764,1
30.52,1.1444980115742986,0.8394980115742987,1
30.54,1.1211037618761641,0.8161037618761642,1
30.56,1.0977352996831522,0.7927352996831523,1
30.58,1.0743943076590872,0.7693943076590872,1
30.6,1.0510826158643547,0.7460826158643548,1
30.62,1.027802217985776,0.722802217985776,1
30.64,1.0045552897192522,0.6995552897192523,1
30.66,0.9813442096387962,0.6763442096387962,1
30.68,0.9581715829445557,0.6531715829445557,1
30.7,0.9350402685529532,0.6300402685529531,1
30.72,0.9119534100769033,0.6069534100769034,1
30.74,0.8889144713460504,0.5839144713460505,1
30.76,0.8659272772399408,0.5609272772399407,1
30.78,0.8429960607560071,0.537996060756007,1
30.8,0.8201255174144586,0.5151255174144587,1
30.82,0.7973208683213711,0.4923208683213711,1
30.84,0.774587933477774,0.46958793347777394,1
30.86,0.7519332172475232,0.4469332172475231,1
30.88,0.7293640082930252,0.4243640082930251,1
30.9,0.7068884967719773,0.40188849677197735,1
30.92,0.6845159121788461,0.3795159121788461,1
30.94,0.6622559566595841,0.35725595665958415,1
30.96,0.6401196422857145,0.3351196422857145,1
30.98,0.618120278249457,0.31312027824945704,1
31.0,0.5962734955879945,0.2912734955879945,1
31.02,0.5745978444926269,0.26959784449262686,1
31.04,0.5531134982500034,0.24811349825000345,1
